zip,lat,lng
32049,52.13539549999999,8.7130931
32051,52.1017418,8.5897784
32052,52.0919704,8.6500658
32105,52.0848218,8.7464532
32107,52.0727509,8.693308799999999
32108,52.0853966,8.8101326
32120,52.1624101,8.636922799999999
32130,52.14755760000001,8.54772
32139,52.1326307,8.458715399999999
32257,52.198835,8.5777547
32278,52.2251494,8.6566223
32289,52.2372464,8.490898
32312,52.3129662,8.627567299999999
32339,52.3663804,8.6301395
32351,52.4204498,8.4766636
32361,52.3000863,8.5103036
32369,52.4543743,8.6008636
32423,52.2937952,8.9553818
32425,52.3362299,8.8907884
32427,52.29067930000001,8.887359199999999
32429,52.275536,8.8427586
32457,52.2253083,8.9402185
32469,52.3832895,8.9774411
32479,52.3121379,8.7834291
32545,52.1971271,8.7926501
32547,52.2074157,8.822436999999999
32549,52.2357817,8.8016185
32584,52.1866111,8.7434549
32602,52.1480262,8.830184500000001
32609,52.2670048,8.669796
32657,52.03535000000001,8.9070006
32676,51.8898786,9.2689127
32683,51.9975391,9.1208499
32689,52.1281572,8.9512242
32694,52.0269121,9.0173133
32699,52.07366529999999,9.1035118
32756,51.93692249999999,8.8682321
32758,51.9561706,8.8251724
32760,51.9083032,8.8941812
32791,51.9811313,8.7768774
32805,51.8604282,8.9630488
32816,51.9078631,9.175909599999999
32825,51.9487215,9.0623357
32832,51.897825,8.750420199999999
32839,51.8697126,9.0863736
33014,51.73672819999999,9.0490757
33034,51.7281977,9.1585552
33039,51.8055268,9.1173323
33098,51.7113515,8.754257599999999
33100,51.7212792,8.834156199999999
33102,51.7331315,8.747207099999999
33104,51.7710084,8.738254699999999
33106,51.7107326,8.691364499999999
33129,51.7737127,8.5578667
33142,51.5581888,8.6020547
33154,51.6752444,8.5968392
33161,51.8394719,8.6760109
33165,51.6207332,8.8995725
33175,51.785633,8.826764299999999
33178,51.6676571,8.7229861
33181,51.5047092,8.7514254
33184,51.745145,8.939711899999999
33189,51.8406829,8.8023317
33330,51.909671,8.369734900000001
33332,51.897298,8.3938455
33334,51.944695,8.4012859
33335,51.9199178,8.4495493
33378,51.8349207,8.2985134
33397,51.7855342,8.3946686
33415,51.86091279999999,8.529086699999999
33428,51.9715241,8.1724753
33442,51.8937329,8.2188923
33449,51.77997999999999,8.3236176
33602,52.0230903,8.5337526
33604,52.00664339999999,8.5482855
33605,52.0010807,8.5795134
33607,52.0200879,8.5749022
33609,52.0414585,8.574527999999999
33611,52.04868159999999,8.548692299999999
33613,52.0499345,8.5214223
33615,52.0303012,8.5079382
33617,52.005081,8.5246804
33619,52.0404442,8.4770585
33647,51.9852138,8.5045443
33649,51.97775499999999,8.4602772
33659,51.9576538,8.5170368
33689,51.9516551,8.5991676
33699,51.9876349,8.6174004
33719,52.0199295,8.6134521
33729,52.0701622,8.6062946
33739,52.0848649,8.5283
33758,51.88311539999999,8.661740199999999
33775,52.0455929,8.1804854
33790,52.03598,8.3172114
33803,51.9883767,8.3866415
33813,51.9455927,8.6813664
33818,52.0081232,8.7010651
33824,52.0927985,8.418446
33829,52.1025558,8.2813014
34414,51.4756133,9.1309863
34431,51.4551847,8.8465078
34434,51.5910115,9.281188799999999
34439,51.6039191,9.1174663
37671,51.7980896,9.3510271
37688,51.66014,9.3466097
37696,51.8182984,9.2307887
40210,51.2225286,6.787720299999999
40211,51.2301142,6.792883499999999
40212,51.22360339999999,6.780529
40213,51.2220859,6.7727077
40215,51.2149435,6.7825598
40217,51.21273110000001,6.7753988
40219,51.2134879,6.762340699999999
40221,51.1997076,6.7507247
40223,51.1997752,6.772247399999999
40225,51.19743750000001,6.7898817
40227,51.2153849,6.7975715
40229,51.19678709999999,6.8460233
40231,51.2134789,6.830239
40233,51.2198064,6.8119048
40235,51.22940939999999,6.8275162
40237,51.23573810000001,6.8091727
40239,51.2452874,6.8032182
40468,51.26116409999999,6.778904700000001
40470,51.2568594,6.8077057
40472,51.26848769999999,6.833787399999999
40474,51.2738092,6.7421871
40476,51.248009,6.7790167
40477,51.2384606,6.7849768
40479,51.233276,6.7837134
40489,51.3305246,6.7625867
40545,51.2284044,6.754373699999999
40547,51.2419331,6.747718799999999
40549,51.233068,6.719087399999999
40589,51.1640762,6.821441999999999
