zipcode,centroid_longitude,centroid_latitude,municipality_ags,municipality_ars,municipality_name,municipality_designation,municipality_display_name,district_ars,district_name,district_designation,district_display_name,federal_state_code,federal_state_name,assignment_method,distance_to_municipality_m
32602,8.830184500000001,52.1480262,05758036,057580036036,Vlotho,Stadt,"Vlotho, Stadt",000000005758,Herford,Kreis,"Herford, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32609,8.669796,52.2670048,05770016,057700016016,Hüllhorst,Gemeinde,"Hüllhorst, Gemeinde",000000005770,Minden-Lübbecke,Kreis,"Minden-Lübbecke, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32657,8.9070006,52.03535000000001,05766044,057660044044,Lemgo,Stadt,"Lemgo, Stadt",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32676,9.2689127,51.8898786,05766052,057660052052,Lügde,Stadt,"Lügde, Stadt",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32683,9.1208499,51.9975391,05766012,057660012012,Barntrup,Stadt,"Barntrup, Stadt",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32689,8.9512242,52.1281572,05766036,057660036036,Kalletal,Gemeinde,"Kalletal, Gemeinde",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32694,9.0173133,52.0269121,05766024,057660024024,Dörentrup,Gemeinde,"Dörentrup, Gemeinde",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32699,9.1035118,52.07366529999999,05766028,057660028028,Extertal,Gemeinde,"Extertal, Gemeinde",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32756,8.8682321,51.93692249999999,05766020,057660020020,Detmold,Stadt,"Detmold, Stadt",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32758,8.8251724,51.9561706,05766020,057660020020,Detmold,Stadt,"Detmold, Stadt",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32760,8.8941812,51.9083032,05766020,057660020020,Detmold,Stadt,"Detmold, Stadt",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32791,8.7768774,51.9811313,05766040,057660040040,Lage,Stadt,"Lage, Stadt",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32805,8.9630488,51.8604282,05766032,057660032032,Horn-Bad Meinberg,Stadt,"Horn-Bad Meinberg, Stadt",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32816,9.1759096,51.9078631,05766060,057660060060,Schieder-Schwalenberg,Stadt,"Schieder-Schwalenberg, Stadt",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32825,9.0623357,51.9487215,05766016,057660016016,Blomberg,Stadt,"Blomberg, Stadt",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32832,8.750420199999999,51.897825,05766004,057660004004,Augustdorf,Gemeinde,"Augustdorf, Gemeinde",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32839,9.0863736,51.8697126,05762032,057620032032,Steinheim,Stadt,"Steinheim, Stadt",000000005762,Höxter,Kreis,"Höxter, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33014,9.0490757,51.73672819999999,05762004,057620004004,Bad Driburg,Stadt,"Bad Driburg, Stadt",000000005762,Höxter,Kreis,"Höxter, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33034,9.1585552,51.7281977,05762016,057620016016,Brakel,Stadt,"Brakel, Stadt",000000005762,Höxter,Kreis,"Höxter, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33039,9.1173323,51.8055268,05762028,057620028028,Nieheim,Stadt,"Nieheim, Stadt",000000005762,Höxter,Kreis,"Höxter, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33098,8.754257599999999,51.7113515,05774032,057740032032,Paderborn,Stadt,"Paderborn, Stadt",000000005774,Paderborn,Kreis,"Paderborn, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33100,8.834156199999999,51.7212792,05774032,057740032032,Paderborn,Stadt,"Paderborn, Stadt",000000005774,Paderborn,Kreis,"Paderborn, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33102,8.747207099999999,51.7331315,05774032,057740032032,Paderborn,Stadt,"Paderborn, Stadt",000000005774,Paderborn,Kreis,"Paderborn, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33104,8.738254699999999,51.7710084,05774032,057740032032,Paderborn,Stadt,"Paderborn, Stadt",000000005774,Paderborn,Kreis,"Paderborn, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33106,8.691364499999999,51.7107326,05774032,057740032032,Paderborn,Stadt,"Paderborn, Stadt",000000005774,Paderborn,Kreis,"Paderborn, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33129,8.5578667,51.7737127,05774020,057740020020,Delbrück,Stadt,"Delbrück, Stadt",000000005774,Paderborn,Kreis,"Paderborn, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33142,8.6020547,51.5581888,05774016,057740016016,Büren,Stadt,"Büren, Stadt",000000005774,Paderborn,Kreis,"Paderborn, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33154,8.5968392,51.6752444,05774036,057740036036,Salzkotten,Stadt,"Salzkotten, Stadt",000000005774,Paderborn,Kreis,"Paderborn, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33161,8.6760109,51.8394719,05774024,057740024024,Hövelhof,Gemeinde,"Hövelhof, Gemeinde",000000005774,Paderborn,Kreis,"Paderborn, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33165,8.8995725,51.6207332,05774028,057740028028,Lichtenau,Stadt,"Lichtenau, Stadt",000000005774,Paderborn,Kreis,"Paderborn, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33175,8.826764299999999,51.785633,05774008,057740008008,Bad Lippspringe,Stadt,"Bad Lippspringe, Stadt",000000005774,Paderborn,Kreis,"Paderborn, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33178,8.7229861,51.6676571,05774012,057740012012,Borchen,Gemeinde,"Borchen, Gemeinde",000000005774,Paderborn,Kreis,"Paderborn, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
