Price,Close,High,Low,Open,Volume
Ticker,CL=F,CL=F,CL=F,CL=F,CL=F
Date,,,,,
2025-01-02,73.12999725341797,73.7300033569336,71.79000091552734,71.8499984741211,306498
2025-01-03,73.95999908447266,74.3499984741211,72.69999694824219,73.12999725341797,296040
2025-01-06,73.55999755859375,74.98999786376953,73.19999694824219,74.05000305175781,306042
2025-01-07,74.25,74.52999877929688,73.11000061035156,73.44000244140625,277328
2025-01-08,73.31999969482422,75.29000091552734,73.16000366210938,74.5199966430664,328617
2025-01-09,73.91999816894531,74.31999969482422,72.83999633789062,73.31999969482422,213421
2025-01-10,76.56999969482422,77.86000061035156,74.0199966430664,74.29000091552734,478432
2025-01-13,78.81999969482422,79.2699966430664,76.54000091552734,76.54000091552734,460942
2025-01-14,77.5,79.08999633789062,77.41000366210938,78.81999969482422,326729
2025-01-15,80.04000091552734,80.7699966430664,77.23999786376953,78.02999877929688,321422
2025-01-16,78.68000030517578,80.58999633789062,77.87000274658203,80.4000015258789,159948
2025-01-17,77.87999725341797,79.44000244140625,77.76000213623047,78.75,112409
2025-01-21,75.88999938964844,78.47000122070312,75.48999786376953,78.19000244140625,568807
2025-01-22,75.44000244140625,76.44999694824219,75.27999877929688,75.87999725341797,315333
2025-01-23,74.62000274658203,76.0,74.13999938964844,75.38999938964844,350688
2025-01-24,74.66000366210938,75.20999908447266,74.01000213623047,74.30000305175781,319679
2025-01-27,73.16999816894531,75.1500015258789,72.37999725341797,74.54000091552734,334418
2025-01-28,73.7699966430664,74.30999755859375,72.93000030517578,73.1500015258789,326075
2025-01-29,72.62000274658203,74.08000183105469,72.33000183105469,73.94999694824219,312733
2025-01-30,72.7300033569336,73.83999633789062,72.0199966430664,73.0,336475
2025-01-31,72.52999877929688,73.83999633789062,71.94000244140625,73.19999694824219,376335
2025-02-03,73.16000366210938,75.18000030517578,72.05000305175781,74.13999938964844,517853
2025-02-04,72.69999694824219,73.3499984741211,70.66999816894531,72.3499984741211,452961
2025-02-05,71.02999877929688,72.97000122070312,70.95999908447266,72.76000213623047,289902
2025-02-06,70.61000061035156,71.8499984741211,70.43000030517578,71.18000030517578,299037
2025-02-07,71.0,71.41000366210938,70.47000122070312,70.55999755859375,273766
2025-02-10,72.31999969482422,72.54000091552734,70.83999633789062,71.0,255941
2025-02-11,73.31999969482422,73.68000030517578,72.30999755859375,72.48999786376953,266819
2025-02-12,71.37000274658203,73.22000122070312,71.16999816894531,73.19999694824219,318123
2025-02-13,71.29000091552734,71.5999984741211,70.22000122070312,71.23999786376953,278197
2025-02-14,70.73999786376953,72.0199966430664,70.5199966430664,71.5199966430664,207719
2025-02-18,71.8499984741211,72.06999969482422,70.12000274658203,70.69999694824219,130937
2025-02-19,72.25,73.04000091552734,71.70999908447266,71.77999877929688,69012
2025-02-20,72.56999969482422,73.25,71.8499984741211,72.18000030517578,240060
2025-02-21,70.4000015258789,72.7699966430664,70.16999816894531,72.58000183105469,268470
2025-02-24,70.69999694824219,70.94000244140625,69.80000305175781,69.80000305175781,205468
2025-02-25,68.93000030517578,71.26000213623047,68.68000030517578,70.91999816894531,267310
2025-02-26,68.62000274658203,69.27999877929688,68.36000061035156,69.11000061035156,255601
2025-02-27,70.3499984741211,70.54000091552734,68.61000061035156,68.81999969482422,265933
2025-02-28,69.76000213623047,70.29000091552734,69.13999938964844,70.16999816894531,250074
2025-03-03,68.37000274658203,70.5999984741211,67.88999938964844,69.94999694824219,332751
2025-03-04,68.26000213623047,68.55999755859375,66.7699966430664,68.45999908447266,386750
2025-03-05,66.30999755859375,68.0999984741211,65.22000122070312,68.08000183105469,382493
2025-03-06,66.36000061035156,67.08999633789062,65.58999633789062,66.38999938964844,341632
2025-03-07,67.04000091552734,68.22000122070312,66.12000274658203,66.33999633789062,329710
2025-03-10,66.02999877929688,67.5999984741211,65.80000305175781,67.11000061035156,249633
2025-03-11,66.25,67.16999816894531,65.29000091552734,65.94999694824219,222511
2025-03-12,67.68000030517578,67.87999725341797,66.1500015258789,66.62000274658203,246675
2025-03-13,66.55000305175781,67.94000244140625,66.37000274658203,67.69000244140625,268590
2025-03-14,67.18000030517578,67.4800033569336,66.58999633789062,66.77999877929688,180495
2025-03-17,67.58000183105469,68.37000274658203,67.25,67.3499984741211,161298
2025-03-18,66.9000015258789,68.72000122070312,66.55999755859375,67.4000015258789,110338
2025-03-19,67.16000366210938,67.62999725341797,66.20999908447266,66.72000122070312,73077
2025-03-20,68.26000213623047,68.47000122070312,66.87999725341797,67.29000091552734,283376
